sample_alias	instrument_model	library_name	library_source	library_selection	library_strategy	design_description	library_construction_protocol	insert_size	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5
BTP_36.3	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Sediment.BTP.36.4Sediment.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Sediment.BTP.36.3Sediment.fastq.gz	
BTP_36.4	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Sediment.BTP.36.3Sediment.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Sediment.BTP.36.4Sediment.fastq.gz	
BTP_36.5	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Lake.water.BTP.36.5Lake.water.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Lake.water.BTP.36.5Lake.water.fastq.gz	
BTP_36.6	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Lake.water.BTP.36.6Lake.water.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Lake.water.BTP.36.6Lake.water.fastq.gz	
BTP_46	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Egg.BTP.46Egg.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Egg.BTP.46Egg.swab.fastq.gz	
BTP_105	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.105Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.105Body.swab.fastq.gz	
BTP_106	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.106Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.106Body.swab.fastq.gz	
BTP_107	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.107Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.107Body.swab.fastq.gz	
BTP_108	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.108Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.108Body.swab.fastq.gz	
BTP_109	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.109Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.109Body.swab.fastq.gz	
BTP_11	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.11Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.11Mouth.fastq.gz	
BTP_110	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.110Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.110Body.swab.fastq.gz	
BTP_111	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.111Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.111Body.swab.fastq.gz	
BTP_112	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.112Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.112Body.swab.fastq.gz	
BTP_113	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.113Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.113Body.swab.fastq.gz	
BTP_114	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.114Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.114Body.swab.fastq.gz	
BTP_115	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.115Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.115Body.swab.fastq.gz	
BTP_116	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.116Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.116Body.swab.fastq.gz	
BTP_117	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.117Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.117Body.swab.fastq.gz	
BTP_118	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.118Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.118Body.swab.fastq.gz	
BTP_119	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Sterile.water.BTP.119Sterile.water.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Sterile.water.BTP.119Sterile.water.fastq.gz	
BTP_12	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.12Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.12Skin.fastq.gz	
BTP_120	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Sediment.BTP.120Side.1.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Sediment.BTP.120Side.1.fastq.gz	
BTP_121	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Sediment.BTP.121Side.2.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Sediment.BTP.121Side.2.fastq.gz	
BTP_122	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Lake.water.BTP.122Side.1.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Lake.water.BTP.122Side.1.fastq.gz	
BTP_123	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Side.2.BTP.123Lake.water.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Side.2.BTP.123Lake.water.fastq.gz	
BTP_13	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.13Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.13Mouth.fastq.gz	
BTP_14	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.14Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.14Skin.fastq.gz	
BTP_15	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.15Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.15Mouth.fastq.gz	
BTP_16	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.16Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.16Skin.fastq.gz	
BTP_165	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.165Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.165Body.swab.fastq.gz	
BTP_166	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.166Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.166Body.swab.fastq.gz	
BTP_167	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.167Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.167Body.swab.fastq.gz	
BTP_168	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.168Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.168Body.swab.fastq.gz	
BTP_17	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.17Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.17Mouth.fastq.gz	
BTP_170	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.170Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.170Body.swab.fastq.gz	
BTP_171	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.171Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.171Body.swab.fastq.gz	
BTP_173	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.173Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.173Body.swab.fastq.gz	
BTP_174	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.174Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.174Body.swab.fastq.gz	
BTP_175	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Sediment.3.BTP.175Sediment.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Sediment.3.BTP.175Sediment.fastq.gz	
BTP_176	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Sediment.2.BTP.176Sediment.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Sediment.2.BTP.176Sediment.fastq.gz	
BTP_177	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Sediment.1.BTP.177Sediment.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Sediment.1.BTP.177Sediment.fastq.gz	
BTP_178	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Water.3.BTP.178Water.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Water.3.BTP.178Water.fastq.gz	
BTP_179	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Water.2.BTP.179Water.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Water.2.BTP.179Water.fastq.gz	
BTP_18	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.18Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.18Skin.fastq.gz	
BTP_180	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Environment.Water.1.BTP.180Water.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Environment.Water.1.BTP.180Water.fastq.gz	
BTP_181	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.Male.BTP.181Skin.1.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.Male.BTP.181Skin.1.fastq.gz	
BTP_182	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Adult.Male.BTP.182Skin.2.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Adult.Male.BTP.182Skin.2.fastq.gz	
BTP_183	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.1.BTP.183Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.1.BTP.183Body.swab.fastq.gz	
BTP_184	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.2.BTP.184Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.2.BTP.184Body.swab.fastq.gz	
BTP_185	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.3.BTP.185Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.3.BTP.185Body.swab.fastq.gz	
BTP_186	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.4.BTP.186Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.4.BTP.186Body.swab.fastq.gz	
BTP_187	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.5.BTP.187Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.5.BTP.187Body.swab.fastq.gz	
BTP_188	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.6.BTP.188Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.6.BTP.188Body.swab.fastq.gz	
BTP_189	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.7.BTP.189Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.7.BTP.189Body.swab.fastq.gz	
BTP_19	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.19Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.19Mouth.fastq.gz	
BTP_190	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.8.BTP.190Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.8.BTP.190Body.swab.fastq.gz	
BTP_191	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.9.BTP.191Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.9.BTP.191Body.swab.fastq.gz	
BTP_192	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.10.BTP.192Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.10.BTP.192Body.swab.fastq.gz	
BTP_20	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.20Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.20Skin.fastq.gz	
BTP_21	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.21Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.21Mouth.fastq.gz	
BTP_22	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.22Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.22Skin.fastq.gz	
BTP_23	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.23Mouth.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.23Mouth.fastq.gz	
BTP_24	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.24Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.24Skin.fastq.gz	
BTP_246	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.246Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.246Body.swab.fastq.gz	
BTP_247	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.247Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.247Body.swab.fastq.gz	
BTP_248	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.248Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.248Body.swab.fastq.gz	
BTP_249	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.249Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.249Body.swab.fastq.gz	
BTP_250	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.250Body.swab.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.Tadpole.BTP.250Body.swab.fastq.gz	
BTP_26	Illumina MiSeq	AAToadFungi20	METAGENOMIC	PCR	AMPLICON	ITS amplicon was used to idnetify fungal community in each sample	EMP ITS protocol	230	Undetermined_S0_L001_R1_001.fastq.gz_Anaxyrus.boreas.NA.BTP.26Skin.fastq.gz		Undetermined_S0_L001_R2_001.fastq.gz_Anaxyrus.boreas.NA.BTP.26Skin.fastq.gz	
